18233879,263471855
17267952,357157225
16135662,250268235
17387419,237468567
16907996,228762099
16782106,239010480
16683158,236802435
16566611,234194492
16432660,227956760
16302397,223611202
16249408,240717806
16017511,221676463
15977286,256614754
15933462,327941875
14973000,246203864
16318899,223287940
15518900,212122032
15493462,223644061
15492425,221256248
15312655,213613367
15162061,212955788
15019607,207797230
15101747,209388302
15011978,208952839
14893356,240544834
14908473,311405657
13995880,274014162
14918657,202335571
14611732,226461625
14424181,199717499
14331259,198539732
14211642,208139776
14063147,205624850
13992061,192300529
13859888,188900530
13842118,188695611
13653880,241920502
13799977,301456133
12976286,336839391
12729373,199713469
14405723,202842523
13541937,179458377
13416657,188702451
13307832,194467141
13245845,195180224
13229221,192766125
13376184,183790594
13165496,181767025
13106820,209991821
13069975,239237745
12797962,222203290
13149554,169543257
12873662,174236418
12771544,169505780
12719500,175503073
12630877,183808215
12586480,179373516
12535445,178044808
12486467,177890250
12448001,180509984
12398643,194205501
12376568,224364160
12179264,208909314
12337442,167764933
12187135,171372943
12066158,166176269
12004015,168687569
12043677,169104982
12005056,169629484
11974442,165564019
11892985,164452852
11809488,162793696
11882115,192108121
12452351,225165758
12130976,206475971
11995078,161136189
11866949,159294829
11715605,153390333
11627240,156513431
11735859,161937389
11704981,158463607
11588350,156294749
11648314,157840488
11626682,160699052
11622598,181017096
11768462,202777104
11665839,253173305
11577569,251828016
11745061,158366505
11606447,156497647
11589267,156095822
11703750,150479987
11591595,150242187
11504647,153097406
11630808,156610229
11563354,148309032
11597633,175108714
11995932,203195006
11764554,187532674
11655418,149738195
11676189,148883561
11569015,145326685
11596491,149437944
11599087,143390657
11650970,148186472
11618541,141193720
11585569,145441214
11588056,141615521
11544284,163572148
11703586,188683401
11613799,174990529
11656108,139627042
11582444,152760980
11617609,147866650
11539296,144810528
11643162,142550975
11615371,145232113
11664517,146080622
11661337,146124627
11663761,139734372
11640473,167446172
11754783,192431929
11605045,173282933
11745984,144696209
11693716,142044372
11740431,142168108
11719362,142675107
11789980,142951295
11825348,145626020
11789707,145612328
11896398,144253923
11858291,147154834
11957931,175888162
12149245,198929825
12084307,183121746
12228874,156992257
12322655,155021992
12379376,153117435
12486813,159971554
